time,id,power,lon,lat,tx
0,55,2.978474E-11,3.069958,50.63696,0
0.02,55,1.448581E-11,3.069958,50.63696,0
0.04,55,1.131297E-11,3.069958,50.63696,0
0.06,55,1.437056E-11,3.069958,50.63696,0
0.08,55,1.262129E-11,3.069958,50.63696,0
0.09999999,55,1.036608E-11,3.069958,50.63696,0
0.12,55,8.88604E-12,3.069958,50.63696,0
0.14,55,9.022842E-12,3.069958,50.63696,0
0.16,55,6.964193E-12,3.069958,50.63696,0
0.18,55,6.71007E-12,3.069958,50.63696,0
0.2,55,5.512707E-12,3.069958,50.63696,0
0.22,55,4.525633E-12,3.069958,50.63696,0
0.24,55,5.495445E-12,3.069958,50.63696,0
0.26,55,4.373228E-12,3.069958,50.63696,0
0.28,55,1.671114E-12,3.069958,50.63696,0
0.3,55,2.115247E-12,3.069958,50.63696,0
0.32,55,3.337062E-13,3.069958,50.63696,0
0.34,55,2.35233E-12,3.069958,50.63696,0
0.36,55,4.04415E-14,3.069958,50.63696,0
0.38,55,4.197043E-12,3.069958,50.63696,0
0.4,55,8.241508E-13,3.069958,50.63696,0
0.42,55,6.794969E-12,3.069958,50.63696,0
0.44,55,6.960902E-12,3.069958,50.63696,0
0.46,55,4.264917E-12,3.069958,50.63696,0
0.48,55,1.420461E-11,3.069958,50.63696,0
0.5,55,2.660804E-12,3.069958,50.63696,0
0.52,55,1.95731E-11,3.069958,50.63696,0
0.54,55,2.409785E-12,3.069958,50.63696,0
0.56,55,2.084215E-11,3.069958,50.63696,0
0.58,55,5.839734E-12,3.069958,50.63696,0
0.6,55,1.985967E-11,3.069958,50.63696,0
0.62,55,1.797124E-12,3.069958,50.63696,0
0.64,55,1.996205E-11,3.069958,50.63696,0
0.66,55,5.517224E-13,3.069958,50.63696,0
0.68,55,1.024162E-11,3.069958,50.63696,0
0.7,55,2.68482E-12,3.069958,50.63696,0
0.72,55,4.104409E-12,3.069958,50.63696,0
0.74,55,7.771299E-12,3.069958,50.63696,0
0.76,55,2.93178E-12,3.069958,50.63696,0
0.78,55,4.936029E-11,3.069958,50.63696,0
0.8,55,2.016108E-11,3.069958,50.63696,0
0.82,55,2.857017E-11,3.069958,50.63696,0
0.84,55,4.689556E-11,3.069958,50.63696,0
0.86,55,4.060732E-12,3.069958,50.63696,0
0.88,55,5.927072E-11,3.069958,50.63696,0
0.9,55,2.83331E-11,3.069958,50.63696,0
0.92,55,2.3916E-11,3.069958,50.63696,0
0.94,55,6.671091E-11,3.069958,50.63696,0
0.96,55,6.555462E-12,3.069958,50.63696,0
0.98,55,4.263429E-11,3.069958,50.63696,0
1,55,4.87532E-11,3.069958,50.63696,0
1.02,55,8.29905E-12,3.069958,50.63696,0
1.04,55,5.189085E-11,3.069958,50.63696,0
1.06,55,4.114019E-11,3.069958,50.63696,0
1.08,55,1.084202E-11,3.069958,50.63696,0
1.1,55,4.87259E-11,3.069958,50.63696,0
1.12,55,4.352653E-11,3.069958,50.63696,0
1.14,55,4.962458E-12,3.069958,50.63696,0
1.16,55,1.100464E-11,3.069958,50.63696,0
1.18,55,1.644965E-11,3.069958,50.63696,0
1.2,55,1.259132E-11,3.069958,50.63696,0
1.22,55,5.788293E-12,3.069958,50.63696,0
1.24,55,2.186789E-11,3.069958,50.63696,0
1.26,55,2.600965E-11,3.069958,50.63696,0
1.28,55,6.024822E-12,3.069958,50.63696,0
1.3,55,1.816656E-11,3.069958,50.63696,0
1.32,55,3.574782E-11,3.069958,50.63696,0
1.34,55,1.909091E-11,3.069958,50.63696,0
1.36,55,1.207378E-11,3.069958,50.63696,0
1.38,55,4.796562E-11,3.069958,50.63696,0
1.4,55,5.141144E-11,3.069958,50.63696,0
1.42,55,1.850721E-11,3.069958,50.63696,0
1.44,55,2.798848E-12,3.069958,50.63696,0
1.46,55,8.731216E-11,3.069958,50.63696,0
1.48,55,6.409044E-11,3.069958,50.63696,0
1.5,55,1.370497E-11,3.069958,50.63696,0
1.52,55,4.719122E-12,3.069958,50.63696,0
1.54,55,2.557452E-12,3.069958,50.63696,0
1.56,55,6.267047E-12,3.069958,50.63696,0
1.58,55,1.685471E-11,3.069958,50.63696,0
1.6,55,2.16364E-11,3.069958,50.63696,0
1.62,55,1.047825E-10,3.069958,50.63696,0
1.64,55,7.687558E-11,3.069958,50.63696,0
1.66,55,5.968312E-11,3.069958,50.63696,0
1.68,55,1.651962E-12,3.069958,50.63696,0
1.7,55,1.222001E-11,3.069958,50.63696,0
1.72,55,2.169649E-10,3.069958,50.63696,0
1.74,55,1.760334E-10,3.069958,50.63696,0
1.76,55,1.142965E-10,3.069958,50.63696,0
1.78,55,1.051747E-10,3.069958,50.63696,0
1.8,55,9.032849E-11,3.069958,50.63696,0
1.82,55,7.941474E-11,3.069958,50.63696,0
1.84,55,1.697258E-11,3.069958,50.63696,0
1.86,55,5.549591E-12,3.069958,50.63696,0
1.88,55,2.955501E-12,3.069958,50.63696,0
1.9,55,1.721775E-11,3.069958,50.63696,0
1.92,55,2.624781E-11,3.069958,50.63696,0
1.94,55,2.107724E-11,3.069958,50.63696,0
1.96,55,1.720968E-11,3.069958,50.63696,0
1.98,55,2.019781E-11,3.069958,50.63696,0
2,55,4.456513E-11,3.069958,50.63696,0
2.02,55,4.798581E-11,3.069958,50.63696,0
2.04,55,4.567996E-11,3.069958,50.63696,0
2.06,55,4.021592E-11,3.069958,50.63696,0
2.08,55,6.605886E-11,3.069958,50.63696,0
2.1,55,8.662102E-11,3.069958,50.63696,0
2.12,55,7.964218E-11,3.069958,50.63696,0
2.14,55,9.418016E-11,3.069958,50.63696,0
2.16,55,1.126604E-10,3.069958,50.63696,0
2.18,55,1.105615E-10,3.069958,50.63696,0
2.2,55,1.326911E-10,3.069958,50.63696,0
2.22,55,1.387422E-10,3.069958,50.63696,0
2.24,55,1.541895E-10,3.069958,50.63696,0
2.26,55,1.543661E-10,3.069958,50.63696,0
2.28,55,1.739396E-10,3.069958,50.63696,0
2.3,55,1.65972E-10,3.069958,50.63696,0
2.32,55,1.490809E-10,3.069958,50.63696,0
2.34,55,1.563413E-10,3.069958,50.63696,0
2.36,55,1.426719E-10,3.069958,50.63696,0
2.38,55,1.066997E-10,3.069958,50.63696,0
2.4,55,1.013432E-10,3.069958,50.63696,0
2.42,55,1.154416E-10,3.069958,50.63696,0
2.44,55,1.100883E-10,3.069958,50.63696,0
2.46,55,1.318109E-10,3.069958,50.63696,0
2.48,55,1.338128E-10,3.069958,50.63696,0
2.5,55,1.275745E-10,3.069958,50.63696,0
2.52,55,1.162641E-10,3.069958,50.63696,0
2.54,55,1.014977E-10,3.069958,50.63696,0
2.56,55,1.014456E-10,3.069958,50.63696,0
2.58,55,9.001619E-11,3.069958,50.63696,0
2.6,55,1.029859E-10,3.069958,50.63696,0
2.62,55,1.172805E-10,3.069958,50.63696,0
2.64,55,1.246074E-10,3.069958,50.63696,0
2.66,55,1.258098E-10,3.069958,50.63696,0
2.68,55,1.103839E-10,3.069958,50.63696,0
2.7,55,1.131508E-10,3.069958,50.63696,0
2.72,55,1.131119E-10,3.069958,50.63696,0
2.74,55,1.263914E-10,3.069958,50.63696,0
2.76,55,1.537604E-10,3.069958,50.63696,0
2.78,55,1.49976E-10,3.069958,50.63696,0
2.8,55,1.421368E-10,3.069958,50.63696,0
2.82,55,1.321715E-10,3.069958,50.63696,0
2.84,55,1.479456E-10,3.069958,50.63696,0
2.86,55,1.905527E-10,3.069958,50.63696,0
2.88,55,1.801976E-10,3.069958,50.63696,0
2.9,55,1.583494E-10,3.069958,50.63696,0
2.92,55,1.614672E-10,3.069958,50.63696,0
2.94,55,1.963447E-10,3.069958,50.63696,0
2.96,55,1.980317E-10,3.069958,50.63696,0
2.98,55,1.628367E-10,3.069958,50.63696,0
3,55,1.553823E-10,3.069958,50.63696,0
3.02,55,1.946142E-10,3.069958,50.63696,0
3.04,55,1.797116E-10,3.069958,50.63696,0
3.06,55,1.427558E-10,3.069958,50.63696,0
3.08,55,1.818449E-10,3.069958,50.63696,0
3.1,55,1.89907E-10,3.069958,50.63696,0
3.12,55,1.38938E-10,3.069958,50.63696,0
3.14,55,1.61178E-10,3.069958,50.63696,0
3.16,55,1.845268E-10,3.069958,50.63696,0
